"","plotID","rich"
"777","DCFS_021","101"
"778","DCFS_010","84"
"779","DCFS_023","48"
"780","DCFS_002","85"
"781","DCFS_009","130"
"782","DCFS_063","127"
"783","NOGP_015","120"
"784","NOGP_005","76"
"785","NOGP_027","87"
"786","NOGP_023","100"
"787","NOGP_019","68"
"788","NOGP_029","53"
"789","NOGP_028","45"
"790","NOGP_008","81"
"791","NOGP_030","66"
"792","NOGP_014","74"
"793","NOGP_022","41"
"794","NOGP_009","90"
"795","NOGP_020","92"
"796","NOGP_024","67"
"797","NOGP_017","74"
"798","NOGP_041","90"
"799","NOGP_001","101"
"800","NOGP_006","77"
"801","NOGP_002","77"
"802","NOGP_003","77"
"803","NOGP_007","92"
"804","NOGP_062","89"
"805","NOGP_010","34"
"806","NOGP_012","72"
"807","NOGP_011","91"
"808","NOGP_013","94"
"809","NOGP_016","97"
"810","NOGP_021","60"
"811","NOGP_025","49"
"812","NOGP_018","63"
"813","NOGP_026","61"
"814","NOGP_064","69"
"815","NOGP_061","76"
"816","WOOD_007","68"
"817","WOOD_002","65"
"818","WOOD_017","80"
"819","WOOD_014","74"
"820","WOOD_012","46"
"821","WOOD_020","55"
"822","WOOD_005","57"
"823","WOOD_009","91"
"824","WOOD_010","66"
"825","WOOD_019","69"
"826","WOOD_006","88"
"827","WOOD_001","85"
"828","WOOD_011","69"
"829","WOOD_004","82"
"830","WOOD_016","69"
"831","WOOD_015","87"
"832","WOOD_018","94"
"833","WOOD_042","74"
"834","WOOD_013","72"
"835","WOOD_003","73"
"836","WOOD_029","89"
"837","WOOD_030","50"
"838","WOOD_024","59"
"839","WOOD_025","53"
"840","WOOD_023","69"
"841","WOOD_022","47"
"842","WOOD_008","70"
"843","WOOD_021","29"
"844","WOOD_043","80"
"845","WOOD_026","25"
"846","WOOD_027","24"
"847","WOOD_028","37"
"848","WOOD_044","67"
"849","CPER_056","24"
"850","CPER_066","26"
"851","CPER_049","35"
"852","CPER_052","40"
"853","CPER_057","39"
"854","CPER_072","32"
"855","CPER_070","33"
"856","CPER_060","28"
"857","CPER_053","28"
"858","CPER_059","35"
"859","CPER_045","63"
"860","CPER_064","34"
"861","CPER_047","81"
"862","CPER_063","28"
"863","CPER_067","24"
"864","CPER_065","34"
"865","CPER_050","32"
"866","CPER_005","102"
"867","CPER_010","108"
"868","CPER_001","85"
"869","CPER_007","98"
"870","CPER_009","88"
"871","CPER_002","98"
"872","CPER_004","89"
"873","CPER_003","94"
"874","CPER_006","65"
"875","CPER_008","82"
"876","CPER_025","95"
"877","CPER_041","30"
"878","CPER_017","109"
