"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"183","DCFS_070",-1.06666666666667,-26.3333333333333,0.983333333333333,47.4833333333333,51.9666666666667
"184","DCFS_071",-2.1,-27.475,0.9175,50.205,55.5
"185","DCFS_072",0.166666666666667,-27.6,0.95,47.51,50.7333333333333
"186","DCFS_073",-0.266666666666667,-26.3666666666667,1.21333333333333,46.03,42.5666666666667
"187","DCFS_074",-0.133333333333333,-26.5666666666667,0.693333333333333,44.0933333333333,64.3333333333333
"188","DCFS_075",-0.833333333333333,-26.8666666666667,1.11666666666667,44.2533333333333,39.5
"189","DCFS_076",0.633333333333333,-27.5,0.963333333333333,47.7933333333333,50.1
"190","DCFS_077",-0.75,-26.95,1.23,45.825,39.075
"191","DCFS_078",-0.666666666666667,-27.0666666666667,0.85,46.1566666666667,55.6666666666667
"192","DCFS_079",0.833333333333333,-27.0666666666667,0.873333333333333,46.27,54.1666666666667
"193","DCFS_080",0.266666666666667,-26.3333333333333,0.906666666666667,42.88,51.7333333333333
"194","DCFS_081",0.475,-26.75,0.6425,46.1,72.475
"195","DCFS_082",0.133333333333333,-27.4666666666667,1.02333333333333,43.4766666666667,45.2333333333333
"196","DCFS_083",1.43333333333333,-27.8,0.97,44.46,46.2333333333333
"197","DCFS_084",0.433333333333333,-26.9,0.963333333333333,44.0566666666667,48.2
"198","DCFS_085",-1.16666666666667,-26.5666666666667,0.786666666666667,49.17,67.3
"199","DCFS_086",-0.866666666666667,-26.6333333333333,0.793333333333333,42.7433333333333,54.6666666666667
"200","DCFS_087",-1.45,-26.225,1.75,49.8525,30.45
"201","DCFS_088",-1.06666666666667,-27.0333333333333,1.19,47.5666666666667,41.6333333333333
"202","DCFS_089",-0.433333333333333,-26.8333333333333,0.81,47.76,62.6
"203","DCFS_090",0.2,-27.4,0.963333333333333,47.3833333333333,50.5
"204","DEJU_045",NA,NA,NA,NA,NA
"205","DEJU_046",NA,NA,NA,NA,NA
"206","DEJU_047",NA,NA,NA,NA,NA
"207","DEJU_048",NA,NA,NA,NA,NA
"208","DEJU_049",NA,NA,NA,NA,NA
"209","DEJU_050",NA,NA,NA,NA,NA
"210","DEJU_051",NA,NA,NA,NA,NA
"211","DEJU_052",NA,NA,NA,NA,NA
"212","DEJU_053",NA,NA,NA,NA,NA
"213","DEJU_054",NA,NA,NA,NA,NA
"214","DEJU_055",NA,NA,NA,NA,NA
"215","DEJU_056",NA,NA,NA,NA,NA
"216","DEJU_057",NA,NA,NA,NA,NA
"217","DEJU_058",NA,NA,NA,NA,NA
"218","DEJU_059",NA,NA,NA,NA,NA
"219","DEJU_060",NA,NA,NA,NA,NA
"220","DEJU_061",NA,NA,NA,NA,NA
"221","DEJU_062",NA,NA,NA,NA,NA
"222","DEJU_063",NA,NA,NA,NA,NA
"223","DEJU_064",NA,NA,NA,NA,NA
"224","DELA_037",3.72857142857143,-29.7285714285714,1.1,45.6042857142857,42.6571428571429
"225","DELA_038",1.28333333333333,-28.9333333333333,0.915,45.7283333333333,53.4333333333333
"226","DELA_039",1.3,-28.85,0.93,45.63,50.5333333333333
"227","DELA_040",3.28571428571429,-28.7285714285714,0.85,45.6028571428571,59.6
"228","DELA_041",4.05,-29.1666666666667,0.893333333333333,46.1683333333333,55.25
"229","DELA_042",1.45714285714286,-29.5,0.774285714285714,43.3157142857143,59.5428571428571
"230","DELA_043",1.25,-28.6833333333333,1.13166666666667,43.1466666666667,40.9666666666667
"231","DELA_044",1.86666666666667,-29.1666666666667,0.966666666666667,42.6083333333333,49.0166666666667
"232","DELA_045",2.14285714285714,-29.5142857142857,0.887142857142857,43.7828571428571,50.4142857142857
"233","DELA_046",2.61666666666667,-29.2333333333333,0.995,43.7183333333333,47.9666666666667
"234","DELA_047",2.95714285714286,-29.7,1.17714285714286,44.1814285714286,41.5714285714286
"235","DELA_048",3.96666666666667,-28.2333333333333,1.25,44.9616666666667,38.6166666666667
"236","DELA_050",1.63333333333333,-28.8166666666667,1.125,44.9933333333333,42.9333333333333
"237","DELA_051",2.81428571428571,-28.7142857142857,1.01428571428571,44.8,46.2571428571429
"238","DELA_052",2.23333333333333,-29.25,0.79,45.1216666666667,61.1333333333333
"239","DELA_053",1.5,-29.5285714285714,0.724285714285714,47.0914285714286,70.3
"240","DELA_054",2.83333333333333,-30.1833333333333,0.986666666666667,47.055,49.1833333333333
"241","DELA_055",1.2,-28.5833333333333,0.961666666666667,44.85,48.95
"242","DELA_056",1.64285714285714,-29.6571428571429,0.697142857142857,47.2671428571429,72.8
"243","DELA_059",1.51666666666667,-29.5333333333333,0.803333333333333,45.2483333333333,59.05
